0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.7,Jose15:10.0,Martin16:8.8,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.2,Tom11:7.5,Michael7:8.8,Vivien3:9.6,Jessica10:10.6,John4:9.0
0.3,Max14:8.4,Sherman12:8.4,Chris20:8.1,Danny19:11.3,Jeffrey1:9.1,Marcus17:8.4,Ryan18:9.2,Frank8:10.0,Joeseph9:9.6,Jose15:9.9,Martin16:8.9,Khoman 6:9.8,Alex2:6.7,Jonathan5:6.3,Tom11:7.6,Michael7:8.9,Vivien3:9.6,Jessica10:10.6,John4:9.0
