a,b,c,d,e,f
Sherman12,Def,5,Ryan18,na,5
Frank8,Off,9,Karen13,Def,7
Martin16,Off,6,Danny19,na,9
Score,,0,,,1
,,,,,
Game ID: ,15,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Karen13,Def,7
Max14,Off,5,Sherman12,Def,5
Ryan18,na,5,Frank8,Off,9
Joeseph9,Def,7,Martin16,Off,6
Jeffrey1,Off,7,Michael7,na,8
Score,,0,,,0
,,,,,
Game ID: ,16,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Karen13,Def,7
Max14,Off,5,Sherman12,Def,5
Ryan18,na,5,Frank8,Off,9
Joeseph9,Def,7,Martin16,Off,6
Jeffrey1,Off,7,Michael7,na,8
Score,,0,,,1
,,,,,
Game ID: ,17,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Chris20,Def,3
Jonathan5,Def,9,Karen13,Def,7
Jose15,Def,8,Frank8,Off,9
Jeffrey1,Off,7,Joeseph9,Def,7
Marcus17,Def,4,Alex2,Off,3
Vivien3,Off,8,Tom11,na,3
John4,Off,4,Jessica10,Off,7
Score,,4,,,0
,,,,,
Game ID: ,18,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Chris20,Def,3
Jonathan5,Def,9,Karen13,Def,7
Jose15,Def,8,Frank8,Off,9
Jeffrey1,Off,7,Joeseph9,Def,7
Marcus17,Def,4,Alex2,Off,3
Vivien3,Off,8,Tom11,na,3
John4,Off,4,Jessica10,Off,7
Score,,2,,,0
,,,,,
Game ID: ,19,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Khoman 6,Def,6
Jonathan5,Def,9,Sherman12,Def,5
Ryan18,na,5,Jessica10,Off,7
Alex2,Off,3,Tom11,na,3
Score,,0,,,0
,,,,,
Game ID: ,20,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Khoman 6,Def,6
Jonathan5,Def,9,Sherman12,Def,5
Ryan18,na,5,Jessica10,Off,7
Alex2,Off,3,Tom11,na,3
Score,,1,,,0
,,,,,
Game ID: ,21,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Max14,Off,5
Michael7,na,8,Sherman12,Def,5
Khoman 6,Def,6,Jeffrey1,Off,7
Martin16,Off,6,Jessica10,Off,7
Danny19,na,9,Jose15,Def,8
Alex2,Off,3,Frank8,Off,9
John4,Off,4,Chris20,Def,3
Tom11,na,3,Karen13,Def,7
Score,,0,,,2
,,,,,
Game ID: ,22,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Max14,Off,5
Michael7,na,8,Sherman12,Def,5
Khoman 6,Def,6,Jeffrey1,Off,7
Martin16,Off,6,Jessica10,Off,7
Danny19,na,9,Jose15,Def,8
Alex2,Off,3,Frank8,Off,9
John4,Off,4,Chris20,Def,3
Tom11,na,3,Karen13,Def,7
Score,,0,,,2
,,,,,
Game ID: ,23,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Jose15,Def,8
Ryan18,na,5,Marcus17,Def,4
Martin16,Off,6,Danny19,na,9
Karen13,Def,7,Jessica10,Off,7
Tom11,na,3,Michael7,na,8
Score,,0,,,4
,,,,,
Game ID: ,24,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Jose15,Def,8
Ryan18,na,5,Marcus17,Def,4
Martin16,Off,6,Danny19,na,9
Karen13,Def,7,Jessica10,Off,7
Tom11,na,3,Michael7,na,8
Score,,0,,,2
,,,,,
Game ID: ,25,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,Frank8,Off,9
Khoman 6,Def,6,Marcus17,Def,4
Ryan18,na,5,Karen13,Def,7
John4,Off,4,Martin16,Off,6
Joeseph9,Def,7,Alex2,Off,3
Chris20,Def,3,Sherman12,Def,5
Jessica10,Off,7,Vivien3,Off,8
Score,,0,,,0
,,,,,
Game ID: ,26,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,Frank8,Off,9
Khoman 6,Def,6,Marcus17,Def,4
Ryan18,na,5,Karen13,Def,7
John4,Off,4,Martin16,Off,6
Joeseph9,Def,7,Alex2,Off,3
Chris20,Def,3,Sherman12,Def,5
Jessica10,Off,7,Vivien3,Off,8
Score,,0,,,1
,,,,,
Game ID: ,27,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Karen13,Def,7
Ryan18,na,5,Sherman12,Def,5
Chris20,Def,3,Marcus17,Def,4
Jeffrey1,Off,7,Jessica10,Off,7
Khoman 6,Def,6,Alex2,Off,3
Frank8,Off,9,Vivien3,Off,8
Tom11,na,3,Joeseph9,Def,7
Score,,1,,,0
,,,,,
Game ID: ,28,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Karen13,Def,7
Ryan18,na,5,Sherman12,Def,5
Chris20,Def,3,Marcus17,Def,4
Jeffrey1,Off,7,Jessica10,Off,7
Khoman 6,Def,6,Alex2,Off,3
Frank8,Off,9,Vivien3,Off,8
Tom11,na,3,Joeseph9,Def,7
Score,,0,,,0
,,,,,
Game ID: ,29,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,John4,Off,4
Tom11,na,3,Martin16,Off,6
Chris20,Def,3,Joeseph9,Def,7
Karen13,Def,7,Khoman 6,Def,6
Frank8,Off,9,Michael7,na,8
Jonathan5,Def,9,Jeffrey1,Off,7
Score,,0,,,0
,,,,,
Game ID: ,30,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,John4,Off,4
Tom11,na,3,Martin16,Off,6
Chris20,Def,3,Joeseph9,Def,7
Karen13,Def,7,Khoman 6,Def,6
Frank8,Off,9,Michael7,na,8
Jonathan5,Def,9,Jeffrey1,Off,7
Score,,0,,,1
,,,,,
Game ID: ,31,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,Chris20,Def,3
Ryan18,na,5,Sherman12,Def,5
Khoman 6,Def,6,Karen13,Def,7
Martin16,Off,6,Frank8,Off,9
John4,Off,4,Alex2,Off,3
Joeseph9,Def,7,Michael7,na,8
Marcus17,Def,4,Jose15,Def,8
Jonathan5,Def,9,Vivien3,Off,8
Score,,0,,,0
,,,,,
Game ID: ,32,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,Chris20,Def,3
Ryan18,na,5,Sherman12,Def,5
Khoman 6,Def,6,Karen13,Def,7
Martin16,Off,6,Frank8,Off,9
John4,Off,4,Alex2,Off,3
Joeseph9,Def,7,Michael7,na,8
Marcus17,Def,4,Jose15,Def,8
Jonathan5,Def,9,Vivien3,Off,8
Score,,0,,,1
,,,,,
Game ID: ,33,,,,
player id,position,Rating,player id,position,Rating
Jose15,Def,8,Marcus17,Def,4
Ryan18,na,5,Chris20,Def,3
Vivien3,Off,8,Khoman 6,Def,6
Jeffrey1,Off,7,Michael7,na,8
Karen13,Def,7,Max14,Off,5
Jonathan5,Def,9,Danny19,na,9
Tom11,na,3,,,
Score,,3,,,0
,,,,,
Game ID: ,34,,,,
player id,position,Rating,player id,position,Rating
Jose15,Def,8,Marcus17,Def,4
Ryan18,na,5,Chris20,Def,3
Vivien3,Off,8,Khoman 6,Def,6
Jeffrey1,Off,7,Michael7,na,8
Karen13,Def,7,Max14,Off,5
Jonathan5,Def,9,Danny19,na,9
Tom11,na,3,,,
Score,,3,,,0
,,,,,
Game ID: ,35,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Khoman 6,Def,6
Martin16,Off,6,Sherman12,Def,5
John4,Off,4,Danny19,na,9
Karen13,Def,7,Alex2,Off,3
Jose15,Def,8,Ryan18,na,5
Michael7,na,8,Jessica10,Off,7
Joeseph9,Def,7,Vivien3,Off,8
Score,,1,,,0
,,,,,
Game ID: ,36,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Khoman 6,Def,6
Martin16,Off,6,Sherman12,Def,5
John4,Off,4,Danny19,na,9
Karen13,Def,7,Alex2,Off,3
Jose15,Def,8,Ryan18,na,5
Michael7,na,8,Jessica10,Off,7
Joeseph9,Def,7,Vivien3,Off,8
Score,,1,,,0
,,,,,
Game ID: ,37,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Jessica10,Off,7
Marcus17,Def,4,Karen13,Def,7
Frank8,Off,9,John4,Off,4
Vivien3,Off,8,Martin16,Off,6
Michael7,na,8,Jose15,Def,8
Chris20,Def,3,Alex2,Off,3
Max14,Off,5,Joeseph9,Def,7
Khoman 6,Def,6,Danny19,na,9
Score,,0,,,1
,,,,,
Game ID: ,38,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Jessica10,Off,7
Marcus17,Def,4,Karen13,Def,7
Frank8,Off,9,John4,Off,4
Vivien3,Off,8,Martin16,Off,6
Michael7,na,8,Jose15,Def,8
Chris20,Def,3,Alex2,Off,3
Max14,Off,5,Joeseph9,Def,7
Khoman 6,Def,6,Danny19,na,9
Score,,0,,,0
,,,,,
Game ID: ,39,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Danny19,na,9
Martin16,Off,6,Jose15,Def,8
Joeseph9,Def,7,Frank8,Off,9
Jonathan5,Def,9,John4,Off,4
Vivien3,Off,8,Chris20,Def,3
Ryan18,na,5,Jessica10,Off,7
Alex2,Off,3,Michael7,na,8
Jeffrey1,Off,7,Tom11,na,3
Score,,1,,,0
,,,,,
Game ID: ,40,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Danny19,na,9
Martin16,Off,6,Jose15,Def,8
Joeseph9,Def,7,Frank8,Off,9
Jonathan5,Def,9,John4,Off,4
Vivien3,Off,8,Chris20,Def,3
Ryan18,na,5,Jessica10,Off,7
Alex2,Off,3,Michael7,na,8
Jeffrey1,Off,7,Tom11,na,3
Score,,0,,,0
,,,,,
Game ID: ,41,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Vivien3,Off,8
Karen13,Def,7,Khoman 6,Def,6
Danny19,na,9,John4,Off,4
Jeffrey1,Off,7,Chris20,Def,3
Alex2,Off,3,Tom11,na,3
Marcus17,Def,4,Frank8,Off,9
Score,,0,,,0
,,,,,
Game ID: ,42,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Vivien3,Off,8
Karen13,Def,7,Khoman 6,Def,6
Danny19,na,9,John4,Off,4
Jeffrey1,Off,7,Chris20,Def,3
Alex2,Off,3,Tom11,na,3
Marcus17,Def,4,Frank8,Off,9
Score,,1,,,0
,,,,,
Game ID: ,43,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Vivien3,Off,8
Jose15,Def,8,Martin16,Off,6
Jeffrey1,Off,7,Jonathan5,Def,9
Alex2,Off,3,Marcus17,Def,4
Khoman 6,Def,6,Max14,Off,5
Karen13,Def,7,Ryan18,na,5
Score,,1,,,0
,,,,,
Game ID: ,44,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Vivien3,Off,8
Jose15,Def,8,Martin16,Off,6
Jeffrey1,Off,7,Jonathan5,Def,9
Alex2,Off,3,Marcus17,Def,4
Khoman 6,Def,6,Max14,Off,5
Karen13,Def,7,Ryan18,na,5
Score,,1,,,0
,,,,,
Game ID: ,45,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Jose15,Def,8
Jonathan5,Def,9,Martin16,Off,6
Max14,Off,5,Vivien3,Off,8
Danny19,na,9,Tom11,na,3
Jessica10,Off,7,Sherman12,Def,5
Jeffrey1,Off,7,Alex2,Off,3
Score,,3,,,0
,,,,,
Game ID: ,46,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Jose15,Def,8
Jonathan5,Def,9,Martin16,Off,6
Max14,Off,5,Vivien3,Off,8
Danny19,na,9,Tom11,na,3
Jessica10,Off,7,Sherman12,Def,5
Jeffrey1,Off,7,Alex2,Off,3
Score,,4,,,0
,,,,,
Game ID: ,47,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Marcus17,Def,4
John4,Off,4,Tom11,na,3
Ryan18,na,5,Martin16,Off,6
Khoman 6,Def,6,Frank8,Off,9
Michael7,na,8,Jessica10,Off,7
Vivien3,Off,8,Sherman12,Def,5
Jose15,Def,8,Alex2,Off,3
Max14,Off,5,Chris20,Def,3
Score,,2,,,0
,,,,,
Game ID: ,48,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Marcus17,Def,4
John4,Off,4,Tom11,na,3
Ryan18,na,5,Martin16,Off,6
Khoman 6,Def,6,Frank8,Off,9
Michael7,na,8,Jessica10,Off,7
Vivien3,Off,8,Sherman12,Def,5
Jose15,Def,8,Alex2,Off,3
Max14,Off,5,Chris20,Def,3
Score,,3,,,0
,,,,,
Game ID: ,49,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Tom11,na,3
Vivien3,Off,8,Jonathan5,Def,9
Frank8,Off,9,Danny19,na,9
Joeseph9,Def,7,Ryan18,na,5
Score,,2,,,0
,,,,,
Game ID: ,50,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Tom11,na,3
Vivien3,Off,8,Jonathan5,Def,9
Frank8,Off,9,Danny19,na,9
Joeseph9,Def,7,Ryan18,na,5
Score,,2,,,0
,,,,,
Game ID: ,51,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Jessica10,Off,7
Ryan18,na,5,Khoman 6,Def,6
Max14,Off,5,Tom11,na,3
Jonathan5,Def,9,Vivien3,Off,8
Chris20,Def,3,John4,Off,4
Karen13,Def,7,Martin16,Off,6
Joeseph9,Def,7,Marcus17,Def,4
Frank8,Off,9,,,
Score,,2,,,0
,,,,,
Game ID: ,52,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Jessica10,Off,7
Ryan18,na,5,Khoman 6,Def,6
Max14,Off,5,Tom11,na,3
Jonathan5,Def,9,Vivien3,Off,8
Chris20,Def,3,John4,Off,4
Karen13,Def,7,Martin16,Off,6
Joeseph9,Def,7,Marcus17,Def,4
Frank8,Off,9,,,
Score,,4,,,0
,,,,,
Game ID: ,53,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Sherman12,Def,5
Marcus17,Def,4,Karen13,Def,7
Ryan18,na,5,Max14,Off,5
John4,Off,4,Vivien3,Off,8
Frank8,Off,9,Jonathan5,Def,9
Score,,0,,,5
,,,,,
Game ID: ,54,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Sherman12,Def,5
Marcus17,Def,4,Karen13,Def,7
Ryan18,na,5,Max14,Off,5
John4,Off,4,Vivien3,Off,8
Frank8,Off,9,Jonathan5,Def,9
Score,,0,,,4
,,,,,
Game ID: ,55,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Jonathan5,Def,9
Frank8,Off,9,Marcus17,Def,4
Vivien3,Off,8,Max14,Off,5
Karen13,Def,7,Tom11,na,3
Score,,4,,,0
,,,,,
Game ID: ,56,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Jonathan5,Def,9
Frank8,Off,9,Marcus17,Def,4
Vivien3,Off,8,Max14,Off,5
Karen13,Def,7,Tom11,na,3
Score,,6,,,0
,,,,,
Game ID: ,57,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Danny19,na,9
Jose15,Def,8,Alex2,Off,3
Michael7,na,8,Khoman 6,Def,6
Martin16,Off,6,Max14,Off,5
Joeseph9,Def,7,Karen13,Def,7
Jessica10,Off,7,Tom11,na,3
Sherman12,Def,5,Jonathan5,Def,9
Marcus17,Def,4,Ryan18,na,5
Score,,0,,,0
,,,,,
Game ID: ,58,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Danny19,na,9
Jose15,Def,8,Alex2,Off,3
Michael7,na,8,Khoman 6,Def,6
Martin16,Off,6,Max14,Off,5
Joeseph9,Def,7,Karen13,Def,7
Jessica10,Off,7,Tom11,na,3
Sherman12,Def,5,Jonathan5,Def,9
Marcus17,Def,4,Ryan18,na,5
Score,,2,,,0
,,,,,
Game ID: ,59,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Vivien3,Off,8
Frank8,Off,9,Jessica10,Off,7
Marcus17,Def,4,Ryan18,na,5
Martin16,Off,6,Max14,Off,5
Joeseph9,Def,7,Chris20,Def,3
Tom11,na,3,Jonathan5,Def,9
Danny19,na,9,Jose15,Def,8
Sherman12,Def,5,Khoman 6,Def,6
Score,,0,,,0
,,,,,
Game ID: ,60,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Vivien3,Off,8
Frank8,Off,9,Jessica10,Off,7
Marcus17,Def,4,Ryan18,na,5
Martin16,Off,6,Max14,Off,5
Joeseph9,Def,7,Chris20,Def,3
Tom11,na,3,Jonathan5,Def,9
Danny19,na,9,Jose15,Def,8
Sherman12,Def,5,Khoman 6,Def,6
Score,,0,,,1
,,,,,
Game ID: ,61,,,,
player id,position,Rating,player id,position,Rating
Jose15,Def,8,Vivien3,Off,8
Jonathan5,Def,9,Khoman 6,Def,6
Jeffrey1,Off,7,Chris20,Def,3
Marcus17,Def,4,Michael7,na,8
Jessica10,Off,7,Sherman12,Def,5
John4,Off,4,Max14,Off,5
Score,,1,,,0
,,,,,
Game ID: ,62,,,,
player id,position,Rating,player id,position,Rating
Jose15,Def,8,Vivien3,Off,8
Jonathan5,Def,9,Khoman 6,Def,6
Jeffrey1,Off,7,Chris20,Def,3
Marcus17,Def,4,Michael7,na,8
Jessica10,Off,7,Sherman12,Def,5
John4,Off,4,Max14,Off,5
Score,,1,,,0
,,,,,
Game ID: ,63,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Ryan18,na,5
John4,Off,4,Vivien3,Off,8
Danny19,na,9,Jose15,Def,8
Marcus17,Def,4,Khoman 6,Def,6
Score,,0,,,0
,,,,,
Game ID: ,64,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Ryan18,na,5
John4,Off,4,Vivien3,Off,8
Danny19,na,9,Jose15,Def,8
Marcus17,Def,4,Khoman 6,Def,6
Score,,0,,,0
,,,,,
Game ID: ,65,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Frank8,Off,9
Tom11,na,3,Sherman12,Def,5
Danny19,na,9,Ryan18,na,5
Marcus17,Def,4,Jonathan5,Def,9
Jessica10,Off,7,Martin16,Off,6
Score,,0,,,1
,,,,,
Game ID: ,66,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Frank8,Off,9
Tom11,na,3,Sherman12,Def,5
Danny19,na,9,Ryan18,na,5
Marcus17,Def,4,Jonathan5,Def,9
Jessica10,Off,7,Martin16,Off,6
Score,,0,,,1
,,,,,
Game ID: ,67,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Karen13,Def,7
Tom11,na,3,Martin16,Off,6
Alex2,Off,3,Khoman 6,Def,6
Vivien3,Off,8,John4,Off,4
Sherman12,Def,5,Jessica10,Off,7
Score,,0,,,0
,,,,,
Game ID: ,68,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Karen13,Def,7
Tom11,na,3,Martin16,Off,6
Alex2,Off,3,Khoman 6,Def,6
Vivien3,Off,8,John4,Off,4
Sherman12,Def,5,Jessica10,Off,7
Score,,0,,,1
,,,,,
Game ID: ,69,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Danny19,na,9
Jeffrey1,Off,7,Alex2,Off,3
Jessica10,Off,7,Vivien3,Off,8
Jose15,Def,8,Marcus17,Def,4
Joeseph9,Def,7,Tom11,na,3
Score,,3,,,0
,,,,,
Game ID: ,70,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Danny19,na,9
Jeffrey1,Off,7,Alex2,Off,3
Jessica10,Off,7,Vivien3,Off,8
Jose15,Def,8,Marcus17,Def,4
Joeseph9,Def,7,Tom11,na,3
Score,,2,,,0
,,,,,
Game ID: ,71,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Sherman12,Def,5
Martin16,Off,6,Jeffrey1,Off,7
Jonathan5,Def,9,Danny19,na,9
Alex2,Off,3,Ryan18,na,5
Karen13,Def,7,John4,Off,4
Chris20,Def,3,Jose15,Def,8
Jessica10,Off,7,Frank8,Off,9
Score,,1,,,0
,,,,,
Game ID: ,72,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Sherman12,Def,5
Martin16,Off,6,Jeffrey1,Off,7
Jonathan5,Def,9,Danny19,na,9
Alex2,Off,3,Ryan18,na,5
Karen13,Def,7,John4,Off,4
Chris20,Def,3,Jose15,Def,8
Jessica10,Off,7,Frank8,Off,9
Score,,0,,,1
,,,,,
Game ID: ,73,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Vivien3,Off,8
Ryan18,na,5,Karen13,Def,7
Alex2,Off,3,Jonathan5,Def,9
Joeseph9,Def,7,Frank8,Off,9
Max14,Off,5,Jeffrey1,Off,7
John4,Off,4,Khoman 6,Def,6
Marcus17,Def,4,Tom11,na,3
Score,,0,,,3
,,,,,
Game ID: ,74,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Vivien3,Off,8
Ryan18,na,5,Karen13,Def,7
Alex2,Off,3,Jonathan5,Def,9
Joeseph9,Def,7,Frank8,Off,9
Max14,Off,5,Jeffrey1,Off,7
John4,Off,4,Khoman 6,Def,6
Marcus17,Def,4,Tom11,na,3
Score,,0,,,3
,,,,,
Game ID: ,75,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Khoman 6,Def,6
Sherman12,Def,5,Karen13,Def,7
Martin16,Off,6,Tom11,na,3
Frank8,Off,9,Michael7,na,8
Vivien3,Off,8,Marcus17,Def,4
Joeseph9,Def,7,Danny19,na,9
Chris20,Def,3,Max14,Off,5
Jonathan5,Def,9,Jessica10,Off,7
Score,,0,,,1
,,,,,
Game ID: ,76,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Khoman 6,Def,6
Sherman12,Def,5,Karen13,Def,7
Martin16,Off,6,Tom11,na,3
Frank8,Off,9,Michael7,na,8
Vivien3,Off,8,Marcus17,Def,4
Joeseph9,Def,7,Danny19,na,9
Chris20,Def,3,Max14,Off,5
Jonathan5,Def,9,Jessica10,Off,7
Score,,0,,,0
,,,,,
Game ID: ,77,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Sherman12,Def,5
Jeffrey1,Off,7,Danny19,na,9
Chris20,Def,3,Tom11,na,3
Frank8,Off,9,Max14,Off,5
Michael7,na,8,Jonathan5,Def,9
Khoman 6,Def,6,Karen13,Def,7
Joeseph9,Def,7,,,
Score,,0,,,0
,,,,,
Game ID: ,78,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Sherman12,Def,5
Jeffrey1,Off,7,Danny19,na,9
Chris20,Def,3,Tom11,na,3
Frank8,Off,9,Max14,Off,5
Michael7,na,8,Jonathan5,Def,9
Khoman 6,Def,6,Karen13,Def,7
Joeseph9,Def,7,,,
Score,,2,,,0
,,,,,
Game ID: ,79,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Joeseph9,Def,7
Vivien3,Off,8,Alex2,Off,3
Chris20,Def,3,Martin16,Off,6
Frank8,Off,9,Michael7,na,8
Score,,3,,,0
,,,,,
Game ID: ,80,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Joeseph9,Def,7
Vivien3,Off,8,Alex2,Off,3
Chris20,Def,3,Martin16,Off,6
Frank8,Off,9,Michael7,na,8
Score,,3,,,0
,,,,,
Game ID: ,81,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Frank8,Off,9
Jonathan5,Def,9,Marcus17,Def,4
